id;categoria;nome;img;info;color;valor;null
pai;massagens;Pacote: limpeza de pele mais massagem;/img/promoções/0.jpeg;Experimente nosso pacote de limpeza de pele com massagem desportiva ou terapêutica. Agende sua consulta hoje mesmo para relaxar e cuidar da sua pele. Desfrute dos benefícios para o seu bem-estar.;e29595;169;;
massagemrelaxante;massagens;Massagem Relaxante;/img/massagens/Slide1.PNG;Usando-se de movimentos leves, a massagem relaxante é uma excelente alternativa para o tratamento de dores musculares. Geralmente causadas por estresse, problemas de postura ou movimentos repetitivos, esses hábitos são prejudiciais, resultando em diferentes doenças. Dessa maneira, ela é uma ferramenta que promove o bem-estar, aliviando o desconforto das regiões mais afetadas;#2d1341;99,00;;
drenagemlinfatica;massagens;Drenagem linfatica;/img/massagens/Slide6.PNG;A drenagem linfática manual é um tipo de massagem corporal que serve para ajudar o corpo a eliminar o excesso de líquidos e toxinas, facilitando o tratamento da celulite, inchaço ou linfedema, e sendo também muito utilizada no pós-operatório de cirurgias, principalmente da cirurgia plástica.;#8ca78a;110;00;;
massagemmodeladora;massagens;Massagem Modeladora;/img/massagens/Slide9.PNG;A massagem modeladora é uma técnica que utiliza movimentos manuais intensos e profundos, com o objetivo de reorganizar as camadas de gordura, promovendo a harmonização dos contornos corporais. Além disso, quando aplicada com a técnica correta, pode auxiliar na redução de medidas e na retenção de líquidos;#837043;110,00;;
liberacaomiofascial;massagens;Liberação Miofascial;/img/massagens/Slide3.PNG;A liberação miofascial é um procedimento que visa amenizar as dores musculares causadas por tensão. Por meio de pressão sobre o local da dor, realizada manualmente ou com o aporte de rolos, a terapia previne lesões e contribui para o tratamento de graves patologias musculoesqueléticas.;#1E3319;110,00;;
pedrasquentes;massagens;Pedras Quentes;/img/massagens/Slide2.PNG;A massagem com pedras quentes é uma terapia milenar, já utilizada pelos chineses, monges budistas e indígenas em seus rituais sagrados e de cura. A aplicação da pedra de tamanho e formato adequados, com a pressão e manipulação correta pelo terapeuta, proporciona os efeitos benéficos dessa massagem, desencadeando sua ação terapêutica.;#626262;110,000;;
bambuterapia;massagens;Bambuterapia;/img/massagens/Slide4.PNG;A bambuterapia é uma técnica de massagem em que são utilizadas hastes de bambu (de diferentes tamanhos e espessuras) que se “encaixam” de acordo com a região do corpo em que são aplicadas, podendo gerar benefícios estéticos (como diminuição da celulite, por exemplo) e/ou terapêuticos (como relaxamento, entre outros). Conheça as particularidades da técnica, suas vantagens e contraindicações.;#704400;110,00;;
massagemcomvelas;massagens;Massagem com velas;/img/massagens/Slide7.PNG;A massagem com velas é uma técnica de massagem americana que está sendo muito utilizada nas grandes clínicas e spas, denominada como Melted Candle (significa “velas derretidas”).;#e1e1e1;110,00;;
1;promocao;PROMOÇÃO;/img/promoções/0.jpeg;Aproveite nossas promoções especiais! Neste mês, estamos oferecendo descontos imperdíveis em uma variedade de tratamentos e serviços de spa. Mime-se com uma massagem relaxante, desfrute de uma sessão de aromaterapia revigorante ou experimente um facial rejuvenescedor, tudo a preços incríveis.Nossa equipe altamente qualificada de terapeutas estará à sua disposição para garantir que você tenha uma experiência de spa memorável e revitalizante. Não perca essa oportunidade de se cuidar e relaxar em nosso espaço spa de luxo.Entre em contato conosco hoje mesmo para agendar o seu tratamento e aproveitar essas promoções exclusivas. Mas corra, pois as vagas são limitadas. Estamos ansiosos para recebê-lo em nosso spa e proporcionar momentos de puro relaxamento e renovação.;#e29595;150,00;;
pillingneffetiti;estetica;Pelling Neffertiti;/img/estetica/01.jpeg;;#e29595;120,00;;
pillingegipicio;estetica;Pilling Egipicio;/img/estetica/02.jpeg;;#e29595;95,00;;
altafrequecia;estetica;Alta Frequêcia;/img/estetica/03.jpeg;;#e29595;160,00;;
dermaplaning;estetica;Dermaplaning;/img/estetica/04.jpeg;;#e29595;160,00;;
antiacne;estetica;Anti Acne;/img/estetica/05.jpeg;;#e29595;160,00;;
peelingdedadyagaucrania;estetica;Peeling de Dadyaga Ucrânia;/img/estetica/06.jpeg;;#e29595;110,00;;
tratamentomelasma;estetica;Tratamento Melasma;/img/estetica/07.jpeg;;#e29595;250,00;;
lavanda;oleos;Lavanda;/img/oleos/p1.jpeg;;#e29595;40.00;;
teatree;oleos;Tea tree;/img/oleos/p2.jpeg;;#e29595;40.00;;
laranjadoce;oleos;Laranja Doce;/img/oleos/p3.jpeg;;#e29595;40.00;;
eucaliptoglobulos;oleos;Eucalipto Globulos;/img/oleos/p4.jpeg;;#e29595;40.00;;
alecrim;oleos;Alecrim;/img/oleos/p5.jpeg;;#e29595;40,00;;
propolisverde;oleos;Propolis Verde;/img/oleos/p6.jpeg;;#e29595;40.00;;
ylangylang;oleos;Ylang Ylang Verde;/img/oleos/p7.jpeg;;#e29595;40.00;;

